"學年度","學校代碼","學校名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男","一年級女","二年級男","二年級女","三年級男","三年級女","四年級男","四年級女","五年級男","五年級女","六年級男","六年級女","七年級男","七年級女","延修生男","延修生女","縣市名稱","體系別"
112,0047,國立高雄餐旅大學,N 職,M 碩士,22,6,16,1,7,3,5,0,3,2,1,0,0,0,0,0,0,0,0,50 高雄市,2 技職
112,0047,國立高雄餐旅大學,D 日,B 四技,2834,941,1893,228,439,224,461,241,478,236,499,0,0,0,0,0,0,12,16,50 高雄市,2 技職
112,0047,國立高雄餐旅大學,N 修,B 四技,845,332,513,76,101,68,126,107,152,76,130,0,0,0,0,0,0,5,4,50 高雄市,2 技職
112,0047,國立高雄餐旅大學,D 日,C 二技,57,22,35,0,0,0,0,6,10,16,22,0,0,0,0,0,0,0,3,50 高雄市,2 技職
112,0047,國立高雄餐旅大學,N 修,C 二技,128,34,94,0,0,0,0,17,44,17,49,0,0,0,0,0,0,0,1,50 高雄市,2 技職
112,0047,國立高雄餐旅大學,D 日,5 五專,251,94,157,18,36,19,31,16,29,17,33,22,27,0,0,0,0,2,1,50 高雄市,2 技職
112,0048,國立金門大學,D 日,D 博士,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71 金門縣,1 一般
112,0048,國立金門大學,D 日,M 碩士,225,126,99,53,41,47,47,18,6,8,5,0,0,0,0,0,0,0,0,71 金門縣,1 一般
112,0048,國立金門大學,N 職,M 碩士,77,44,33,23,12,11,15,5,4,5,2,0,0,0,0,0,0,0,0,71 金門縣,1 一般
112,0048,國立金門大學,D 日,B 學士,3043,1605,1438,404,366,332,345,398,368,379,300,22,18,0,0,0,0,70,41,71 金門縣,1 一般
112,0048,國立金門大學,P 進,B 學士,701,377,324,87,64,73,77,99,73,72,85,0,0,0,0,0,0,46,25,71 金門縣,1 一般
112,0049,國立臺灣體育運動大學,D 日,D 博士,19,10,9,4,0,2,2,2,3,2,4,0,0,0,0,0,0,0,0,19 臺中市,1 一般
112,0049,國立臺灣體育運動大學,D 日,M 碩士,287,146,141,52,36,35,49,23,31,22,14,9,9,5,2,0,0,0,0,19 臺中市,1 一般
112,0049,國立臺灣體育運動大學,N 職,M 碩士,139,89,50,23,21,28,9,19,13,14,6,1,1,2,0,2,0,0,0,19 臺中市,1 一般
112,0049,國立臺灣體育運動大學,D 日,B 學士,2356,1386,970,338,243,338,226,315,211,292,243,0,0,0,0,0,0,103,47,19 臺中市,1 一般
112,0049,國立臺灣體育運動大學,P 進,B 學士,348,242,106,71,26,57,27,45,26,52,22,0,0,0,0,0,0,17,5,19 臺中市,1 一般
112,0050,國立臺中科技大學,D 日,D 博士,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
112,0050,國立臺中科技大學,D 日,M 碩士,419,160,259,54,114,69,90,23,36,14,19,0,0,0,0,0,0,0,0,19 臺中市,2 技職
112,0050,國立臺中科技大學,N 職,M 碩士,282,106,176,55,68,36,80,9,22,6,6,0,0,0,0,0,0,0,0,19 臺中市,2 技職
112,0050,國立臺中科技大學,D 日,B 四技,5694,1999,3695,545,938,535,889,458,894,393,890,0,0,0,0,0,0,68,84,19 臺中市,2 技職
112,0050,國立臺中科技大學,N 修,B 四技,2276,811,1465,258,456,185,332,161,301,155,302,0,0,0,0,0,0,52,74,19 臺中市,2 技職
112,0050,國立臺中科技大學,D 日,C 二技,1273,332,941,0,0,0,0,141,458,172,439,0,0,0,0,0,0,19,44,19 臺中市,2 技職
112,0050,國立臺中科技大學,N 修,C 二技,1531,515,1016,0,0,0,0,277,487,200,491,0,0,0,0,0,0,38,38,19 臺中市,2 技職
112,0050,國立臺中科技大學,N 修,2 二專,805,292,513,116,223,143,234,0,0,0,0,0,0,0,0,0,0,33,56,19 臺中市,2 技職
112,0050,國立臺中科技大學,D 日,5 五專,3704,1069,2635,216,566,229,523,214,509,190,510,190,464,0,0,0,0,30,63,19 臺中市,2 技職
112,0051,國立臺北商業大學,D 日,D 博士,10,7,3,1,2,3,0,2,0,1,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
112,0051,國立臺北商業大學,D 日,M 碩士,320,125,195,40,91,64,93,17,10,4,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
112,0051,國立臺北商業大學,N 職,M 碩士,135,57,78,30,35,17,33,1,1,9,9,0,0,0,0,0,0,0,0,30 臺北市,2 技職
112,0051,國立臺北商業大學,D 日,B 四技,2367,800,1567,201,377,197,371,194,383,181,402,0,0,0,0,0,0,27,34,30 臺北市,2 技職
112,0051,國立臺北商業大學,N 修,B 四技,929,360,569,96,150,86,131,83,137,78,135,0,0,0,0,0,0,17,16,30 臺北市,2 技職
112,0051,國立臺北商業大學,D 日,C 二技,571,144,427,0,0,0,0,81,193,59,215,0,0,0,0,0,0,4,19,30 臺北市,2 技職
112,0051,國立臺北商業大學,N 修,C 二技,784,272,512,0,0,0,0,115,236,130,244,0,0,0,0,0,0,27,32,30 臺北市,2 技職
112,0051,國立臺北商業大學,N 修,2 二專,138,57,81,21,20,23,49,0,0,0,0,0,0,0,0,0,0,13,12,30 臺北市,2 技職
112,0051,國立臺北商業大學,D 日,5 五專,1745,518,1227,111,243,102,245,103,236,91,240,87,232,0,0,0,0,24,31,30 臺北市,2 技職
112,0052,國立屏東大學,D 日,D 博士,46,23,23,4,4,2,3,3,5,6,5,3,3,3,1,2,2,0,0,13 屏東縣,1 一般
112,0052,國立屏東大學,D 日,M 碩士,920,330,590,111,219,122,154,65,121,32,96,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
112,0052,國立屏東大學,N 職,M 碩士,697,198,499,61,150,57,127,42,93,21,57,10,37,7,35,0,0,0,0,13 屏東縣,1 一般
112,0052,國立屏東大學,D 日,B 學士,6562,2918,3644,726,899,748,842,695,914,641,896,0,0,0,0,0,0,108,93,13 屏東縣,1 一般
112,0052,國立屏東大學,P 進,B 學士,634,315,319,54,48,56,42,83,97,88,110,0,0,0,0,0,0,34,22,13 屏東縣,1 一般
112,0053,國立高雄科技大學,D 日,D 博士,564,418,146,78,23,85,44,79,35,51,23,52,8,28,6,45,7,0,0,50 高雄市,2 技職
112,0053,國立高雄科技大學,D 日,M 碩士,2608,1733,875,764,377,747,384,145,78,77,36,0,0,0,0,0,0,0,0,50 高雄市,2 技職
112,0053,國立高雄科技大學,N 職,M 碩士,1943,1212,731,488,312,432,298,136,64,80,35,52,10,24,12,0,0,0,0,50 高雄市,2 技職
112,0053,國立高雄科技大學,D 日,B 四技,17471,10885,6586,2709,1617,2643,1577,2553,1670,2575,1590,0,0,0,0,0,0,405,132,50 高雄市,2 技職
112,0053,國立高雄科技大學,N 修,B 四技,3527,2395,1132,534,254,518,228,546,279,506,288,0,0,0,0,0,0,291,83,50 高雄市,2 技職
112,0053,國立高雄科技大學,D 日,C 二技,454,327,127,0,0,0,0,177,51,114,62,0,0,0,0,0,0,36,14,50 高雄市,2 技職
112,0053,國立高雄科技大學,N 修,C 二技,342,188,154,0,0,0,0,159,125,24,28,0,0,0,0,0,0,5,1,50 高雄市,2 技職
112,0053,國立高雄科技大學,D 日,5 五專,874,705,169,159,29,143,35,130,33,98,34,130,32,0,0,0,0,45,6,50 高雄市,2 技職
112,0144,國立臺灣戲曲學院,D 日,B 四技,501,189,312,39,84,48,70,46,67,46,77,0,0,0,0,0,0,10,14,30 臺北市,2 技職
112,0221,國立臺南護理專科學校,D 日,2 二專,67,4,63,2,28,2,32,0,0,0,0,0,0,0,0,0,0,0,3,21 臺南市,2 技職
112,0221,國立臺南護理專科學校,N 修,2 二專,38,5,33,2,14,3,19,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,2 技職
112,0221,國立臺南護理專科學校,D 日,5 五專,1878,195,1683,49,357,45,351,33,351,37,316,29,294,0,0,0,0,2,14,21 臺南市,2 技職
112,0222,國立臺東專科學校,D 日,2 二專,412,303,109,174,57,122,50,0,0,0,0,0,0,0,0,0,0,7,2,14 臺東縣,2 技職
112,0222,國立臺東專科學校,N 修,2 二專,87,45,42,27,18,18,22,0,0,0,0,0,0,0,0,0,0,0,2,14 臺東縣,2 技職
112,0222,國立臺東專科學校,D 日,5 五專,187,102,85,16,15,12,22,21,12,19,11,23,20,0,0,0,0,11,5,14 臺東縣,2 技職
112,1001,東海大學,D 日,D 博士,249,148,101,23,21,23,8,24,12,19,13,11,20,20,8,28,19,0,0,19 臺中市,1 一般
112,1001,東海大學,D 日,M 碩士,1379,687,692,263,249,190,223,114,126,107,91,6,2,7,1,0,0,0,0,19 臺中市,1 一般
112,1001,東海大學,N 職,M 碩士,753,355,398,117,140,90,125,61,62,35,36,28,21,24,14,0,0,0,0,19 臺中市,1 一般
112,1001,東海大學,D 日,B 學士,12951,5896,7055,1407,1696,1398,1629,1449,1734,1333,1705,9,20,0,0,0,0,300,271,19 臺中市,1 一般
112,1001,東海大學,P 進,B 學士,250,107,143,18,34,15,19,21,28,25,32,12,19,0,0,0,0,16,11,19 臺中市,1 一般
112,1002,輔仁大學,D 日,D 博士,428,235,193,51,20,41,36,27,31,32,31,24,27,35,20,25,28,0,0,01 新北市,1 一般
112,1002,輔仁大學,D 日,M 碩士,1939,746,1193,281,387,239,397,134,241,89,165,1,2,2,1,0,0,0,0,01 新北市,1 一般
112,1002,輔仁大學,N 職,M 碩士,1498,584,914,209,295,194,257,80,149,52,104,29,69,20,40,0,0,0,0,01 新北市,1 一般
112,1002,輔仁大學,D 日,B 學士,18048,7332,10716,1712,2519,1732,2547,1782,2601,1577,2594,35,17,40,12,0,0,454,426,01 新北市,1 一般
112,1002,輔仁大學,P 進,B 學士,3677,1498,2179,316,434,312,431,383,560,340,526,0,0,0,0,0,0,147,228,01 新北市,1 一般
112,1002,輔仁大學,N 修,C 二技,42,3,39,0,0,0,0,1,20,2,19,0,0,0,0,0,0,0,0,01 新北市,2 技職
112,1003,東吳大學,D 日,D 博士,113,63,50,9,7,10,4,8,8,12,5,6,9,5,5,13,12,0,0,30 臺北市,1 一般
112,1003,東吳大學,D 日,M 碩士,1307,590,717,194,221,162,228,120,142,101,121,13,5,0,0,0,0,0,0,30 臺北市,1 一般
112,1003,東吳大學,N 職,M 碩士,1279,595,684,146,168,148,193,94,106,91,86,66,67,50,64,0,0,0,0,30 臺北市,1 一般
112,1003,東吳大學,D 日,B 學士,11909,4730,7179,1121,1659,1093,1607,1078,1711,1037,1706,94,149,0,0,0,0,307,347,30 臺北市,1 一般
112,1003,東吳大學,P 進,B 學士,601,227,374,18,28,24,36,66,99,67,116,40,74,0,0,0,0,12,21,30 臺北市,1 一般
112,1004,中原大學,D 日,D 博士,332,210,122,37,26,39,24,45,23,28,21,17,12,20,11,24,5,0,0,03 桃園市,1 一般
112,1004,中原大學,D 日,M 碩士,1668,932,736,399,285,343,259,107,99,75,81,5,7,3,5,0,0,0,0,03 桃園市,1 一般
112,1004,中原大學,N 職,M 碩士,964,587,377,203,144,187,119,92,51,56,30,25,17,22,13,2,3,0,0,03 桃園市,1 一般
112,1004,中原大學,D 日,B 學士,13732,7135,6597,1621,1540,1704,1543,1620,1595,1600,1511,69,93,0,0,0,0,521,315,03 桃園市,1 一般
112,1005,淡江大學,D 日,D 博士,351,229,122,48,23,37,24,39,22,34,12,29,12,20,15,22,14,0,0,01 新北市,1 一般
112,1005,淡江大學,D 日,M 碩士,1419,765,654,319,270,301,206,109,110,36,68,0,0,0,0,0,0,0,0,01 新北市,1 一般
112,1005,淡江大學,N 職,M 碩士,622,309,313,104,117,101,118,46,33,29,23,18,14,11,8,0,0,0,0,01 新北市,1 一般
112,1005,淡江大學,D 日,B 學士,19466,10426,9040,2337,2003,2339,1980,2484,2333,2437,2274,34,31,0,0,0,0,795,419,01 新北市,1 一般
112,1005,淡江大學,P 進,B 學士,816,492,324,77,36,75,49,140,84,124,85,0,0,0,0,0,0,76,70,01 新北市,1 一般
112,1006,中國文化大學,D 日,D 博士,494,298,196,38,26,32,20,29,28,33,23,31,21,43,13,92,65,0,0,30 臺北市,1 一般
112,1006,中國文化大學,D 日,M 碩士,1518,787,731,186,217,183,160,112,124,118,92,92,64,96,74,0,0,0,0,30 臺北市,1 一般
112,1006,中國文化大學,N 職,M 碩士,565,201,364,47,103,48,95,25,61,21,33,22,26,38,46,0,0,0,0,30 臺北市,1 一般
112,1006,中國文化大學,D 日,B 學士,15975,8296,7679,1358,1161,1308,1290,2060,1988,2089,2115,33,18,0,0,0,0,1448,1107,30 臺北市,1 一般
112,1006,中國文化大學,P 進,B 學士,1139,432,707,102,190,57,157,94,113,77,129,0,0,0,0,0,0,102,118,30 臺北市,1 一般
112,1006,中國文化大學,N 修,C 二技,175,64,111,0,0,0,0,25,38,22,49,12,20,0,0,0,0,5,4,30 臺北市,2 技職
112,1007,逢甲大學,D 日,D 博士,404,278,126,50,23,53,33,54,19,38,20,27,7,18,13,38,11,0,0,19 臺中市,1 一般
112,1007,逢甲大學,D 日,M 碩士,1714,1123,591,498,279,420,213,147,71,52,24,4,3,2,1,0,0,0,0,19 臺中市,1 一般
112,1007,逢甲大學,N 職,M 碩士,1175,711,464,269,208,244,167,84,36,51,30,35,17,28,6,0,0,0,0,19 臺中市,1 一般
112,1007,逢甲大學,D 日,B 學士,17372,10092,7280,2371,1648,2461,1791,2400,1824,2302,1785,53,57,0,0,0,0,505,175,19 臺中市,1 一般
112,1007,逢甲大學,P 進,B 學士,776,471,305,84,52,103,53,118,83,110,84,0,0,0,0,0,0,56,33,19 臺中市,1 一般
112,1008,靜宜大學,D 日,D 博士,61,25,36,5,7,4,4,6,4,1,9,1,6,3,2,5,4,0,0,06 臺中市,1 一般
112,1008,靜宜大學,D 日,M 碩士,678,248,430,97,158,75,128,46,90,27,50,3,1,0,3,0,0,0,0,06 臺中市,1 一般
112,1008,靜宜大學,N 職,M 碩士,376,142,234,49,76,36,78,22,33,18,22,7,9,10,16,0,0,0,0,06 臺中市,1 一般
112,1008,靜宜大學,D 日,B 學士,9872,3893,5979,814,1180,841,1279,978,1544,968,1633,0,0,0,0,0,0,292,343,06 臺中市,1 一般
112,1009,長庚大學,D 日,D 博士,454,275,179,46,35,40,34,40,30,27,24,34,14,28,15,60,27,0,0,03 桃園市,1 一般
112,1009,長庚大學,D 日,M 碩士,1199,552,647,229,253,198,222,82,98,40,48,3,14,0,12,0,0,0,0,03 桃園市,1 一般
112,1009,長庚大學,N 職,M 碩士,178,90,88,34,38,31,37,10,7,6,3,7,1,2,2,0,0,0,0,03 桃園市,1 一般
112,1009,長庚大學,D 日,B 學士,5272,2491,2781,551,689,556,611,539,651,572,567,79,84,94,72,25,32,75,75,03 桃園市,1 一般
112,1010,元智大學,D 日,D 博士,238,176,62,39,10,16,15,36,11,22,5,26,10,20,7,17,4,0,0,03 桃園市,1 一般
112,1010,元智大學,D 日,M 碩士,820,512,308,231,125,176,128,73,39,32,16,0,0,0,0,0,0,0,0,03 桃園市,1 一般
112,1010,元智大學,N 職,M 碩士,525,312,213,98,70,81,82,66,30,23,13,31,11,13,7,0,0,0,0,03 桃園市,1 一般
112,1010,元智大學,D 日,B 學士,7180,4023,3157,958,742,924,731,965,802,934,731,0,0,0,0,0,0,242,151,03 桃園市,1 一般
112,1011,中華大學,D 日,D 博士,58,40,18,6,4,8,6,10,3,7,0,4,1,3,2,2,2,0,0,18 新竹市,1 一般
112,1011,中華大學,D 日,M 碩士,288,187,101,74,47,66,35,30,12,15,5,2,2,0,0,0,0,0,0,18 新竹市,1 一般
112,1011,中華大學,N 職,M 碩士,125,90,35,38,19,33,14,15,2,4,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
112,1011,中華大學,D 日,B 學士,3099,2134,965,400,164,379,175,503,235,591,284,35,24,0,0,0,0,226,83,18 新竹市,1 一般
112,1011,中華大學,P 進,B 學士,133,82,51,15,8,18,15,22,10,20,14,0,0,0,0,0,0,7,4,18 新竹市,1 一般
112,1011,中華大學,N 修,C 二技,195,126,69,0,0,0,0,23,6,99,62,0,0,0,0,0,0,4,1,18 新竹市,2 技職
112,1012,大葉大學,D 日,D 博士,113,76,37,24,5,12,7,5,9,11,6,10,5,8,4,6,1,0,0,07 彰化縣,1 一般
112,1012,大葉大學,D 日,M 碩士,400,206,194,96,95,58,59,28,27,19,12,5,1,0,0,0,0,0,0,07 彰化縣,1 一般
112,1012,大葉大學,N 職,M 碩士,141,66,75,41,44,14,5,4,15,4,6,0,3,3,2,0,0,0,0,07 彰化縣,1 一般
112,1012,大葉大學,D 日,B 學士,3654,2046,1608,297,229,431,334,512,440,610,523,0,0,0,0,0,0,196,82,07 彰化縣,1 一般
112,1012,大葉大學,P 進,B 學士,194,130,64,21,13,22,11,32,17,36,19,0,0,0,0,0,0,19,4,07 彰化縣,1 一般
112,1012,大葉大學,N 修,C 二技,59,9,50,0,0,0,0,5,8,4,28,0,0,0,0,0,0,0,14,07 彰化縣,2 技職
112,1013,華梵大學,D 日,D 博士,64,29,35,7,7,3,8,1,5,5,4,5,5,5,3,3,3,0,0,01 新北市,1 一般
112,1013,華梵大學,D 日,M 碩士,184,79,105,39,44,19,25,9,18,12,18,0,0,0,0,0,0,0,0,01 新北市,1 一般
112,1013,華梵大學,N 職,M 碩士,231,94,137,45,58,20,38,9,21,8,15,8,3,4,2,0,0,0,0,01 新北市,1 一般
112,1013,華梵大學,D 日,B 學士,544,257,287,81,107,58,76,43,48,59,48,0,0,0,0,0,0,16,8,01 新北市,1 一般
112,1014,義守大學,D 日,D 博士,131,89,42,15,6,17,9,17,7,18,7,9,7,6,3,7,3,0,0,12 高雄市,1 一般
112,1014,義守大學,D 日,M 碩士,377,179,198,86,78,61,75,22,26,10,19,0,0,0,0,0,0,0,0,12 高雄市,1 一般
112,1014,義守大學,N 職,M 碩士,304,203,101,77,45,75,31,18,14,10,7,11,3,12,1,0,0,0,0,12 高雄市,1 一般
112,1014,義守大學,D 日,B 學士,10167,5140,5027,1043,995,1054,1109,1321,1316,1293,1341,43,33,0,0,0,0,386,233,12 高雄市,1 一般
112,1014,義守大學,P 進,B 學士,599,465,134,137,37,104,36,109,29,66,22,0,0,0,0,0,0,49,10,12 高雄市,1 一般
112,1014,義守大學,N 修,C 二技,143,26,117,0,0,0,0,16,59,9,54,0,0,0,0,0,0,1,4,12 高雄市,2 技職
112,1015,世新大學,D 日,D 博士,81,39,42,6,7,9,8,7,10,3,6,6,5,4,3,4,3,0,0,30 臺北市,1 一般
112,1015,世新大學,D 日,M 碩士,473,208,265,84,115,58,82,40,42,26,25,0,1,0,0,0,0,0,0,30 臺北市,1 一般
112,1015,世新大學,N 職,M 碩士,543,274,269,74,89,57,57,45,47,41,43,25,20,32,13,0,0,0,0,30 臺北市,1 一般
112,1015,世新大學,D 日,B 學士,9150,3175,5975,695,1488,785,1421,756,1434,779,1458,0,0,0,0,0,0,160,174,30 臺北市,1 一般
112,1015,世新大學,P 進,B 學士,673,235,438,79,141,44,103,66,127,30,50,0,0,0,0,0,0,16,17,30 臺北市,1 一般
112,1016,銘傳大學,D 日,D 博士,78,35,43,9,11,8,4,3,5,3,6,4,5,2,7,6,5,0,0,30 臺北市,1 一般
112,1016,銘傳大學,D 日,M 碩士,769,292,477,122,171,86,167,49,83,35,56,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,1016,銘傳大學,N 職,M 碩士,702,282,420,97,140,75,139,35,49,35,39,20,29,20,24,0,0,0,0,30 臺北市,1 一般
112,1016,銘傳大學,D 日,B 學士,15949,6409,9540,1405,1981,1468,2206,1595,2429,1482,2519,29,18,0,0,0,0,430,387,30 臺北市,1 一般
112,1017,實踐大學,D 日,D 博士,25,11,14,1,2,3,0,2,1,1,3,2,7,1,1,1,0,0,0,30 臺北市,1 一般
112,1017,實踐大學,D 日,M 碩士,329,144,185,37,70,41,50,33,34,31,31,2,0,0,0,0,0,0,0,30 臺北市,1 一般
112,1017,實踐大學,N 職,M 碩士,107,20,87,6,28,6,31,3,13,5,15,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,1017,實踐大學,D 日,B 學士,9112,3096,6016,631,1349,675,1226,752,1491,745,1530,14,25,0,0,0,0,279,395,30 臺北市,1 一般
112,1017,實踐大學,P 進,B 學士,1107,351,756,47,115,58,128,78,199,97,219,0,0,0,0,0,0,71,95,30 臺北市,1 一般
112,1017,實踐大學,N 修,C 二技,74,14,60,0,0,0,0,10,36,4,18,0,0,0,0,0,0,0,6,30 臺北市,2 技職
112,1018,朝陽科技大學,D 日,D 博士,99,68,31,9,5,18,10,16,7,10,5,8,1,2,3,5,0,0,0,06 臺中市,2 技職
112,1018,朝陽科技大學,D 日,M 碩士,609,321,288,135,111,117,103,49,42,19,28,1,3,0,0,0,1,0,0,06 臺中市,2 技職
112,1018,朝陽科技大學,N 職,M 碩士,251,117,134,44,38,24,27,9,19,16,20,17,12,6,15,1,3,0,0,06 臺中市,2 技職
112,1018,朝陽科技大學,D 日,B 四技,11082,4914,6168,1215,1592,1203,1450,1140,1479,1084,1470,0,0,0,0,0,0,272,177,06 臺中市,2 技職
112,1018,朝陽科技大學,N 修,B 四技,1168,566,602,88,99,118,100,121,144,158,185,0,0,0,0,0,0,81,74,06 臺中市,2 技職
112,1018,朝陽科技大學,D 日,C 二技,24,13,11,0,0,0,0,1,2,8,6,0,0,0,0,0,0,4,3,06 臺中市,2 技職
112,1019,高雄醫學大學,D 日,D 博士,309,167,142,45,29,36,24,29,25,21,23,16,16,14,13,6,12,0,0,50 高雄市,1 一般
112,1019,高雄醫學大學,D 日,M 碩士,703,226,477,97,197,75,169,43,77,10,33,1,1,0,0,0,0,0,0,50 高雄市,1 一般
112,1019,高雄醫學大學,N 職,M 碩士,221,92,129,37,52,35,51,16,18,4,7,0,1,0,0,0,0,0,0,50 高雄市,1 一般
112,1019,高雄醫學大學,D 日,B 學士,5388,2242,3146,440,755,497,701,477,680,444,721,190,139,151,81,0,0,43,69,50 高雄市,1 一般
112,1020,南華大學,D 日,D 博士,47,30,17,6,3,5,3,3,3,7,3,5,4,0,1,4,0,0,0,10 嘉義縣,1 一般
112,1020,南華大學,D 日,M 碩士,517,194,323,100,142,42,81,29,50,22,50,1,0,0,0,0,0,0,0,10 嘉義縣,1 一般
112,1020,南華大學,N 職,M 碩士,388,142,246,61,108,41,55,15,38,17,28,8,17,0,0,0,0,0,0,10 嘉義縣,1 一般
112,1020,南華大學,D 日,B 學士,3667,1682,1985,383,517,370,460,406,481,406,464,0,0,0,0,0,0,117,63,10 嘉義縣,1 一般
112,1020,南華大學,P 進,B 學士,275,172,103,61,32,25,21,36,23,36,20,0,0,0,0,0,0,14,7,10 嘉義縣,1 一般
112,1021,真理大學,D 日,M 碩士,124,65,59,21,19,22,21,11,11,7,6,4,0,0,2,0,0,0,0,01 新北市,1 一般
112,1021,真理大學,N 職,M 碩士,10,5,5,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,01 新北市,1 一般
112,1021,真理大學,D 日,B 學士,3146,1647,1499,206,165,309,291,434,421,537,514,0,0,0,0,0,0,161,108,01 新北市,1 一般
112,1021,真理大學,P 進,B 學士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01 新北市,1 一般
112,1022,大同大學,D 日,D 博士,101,72,29,17,4,11,6,15,0,10,4,10,6,2,6,7,3,0,0,30 臺北市,1 一般
112,1022,大同大學,D 日,M 碩士,232,139,93,53,39,53,36,25,10,8,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,1022,大同大學,N 職,M 碩士,127,95,32,36,10,27,16,18,2,6,1,8,3,0,0,0,0,0,0,30 臺北市,1 一般
112,1022,大同大學,D 日,B 學士,3143,1997,1146,454,252,404,243,523,319,488,287,0,0,0,0,0,0,128,45,30 臺北市,1 一般
112,1023,南臺科技大學,D 日,D 博士,81,55,26,15,7,11,4,8,7,5,3,8,1,4,3,4,1,0,0,11 臺南市,2 技職
112,1023,南臺科技大學,D 日,M 碩士,726,427,299,194,115,128,106,70,48,21,22,7,5,7,3,0,0,0,0,11 臺南市,2 技職
112,1023,南臺科技大學,N 職,M 碩士,288,131,157,47,68,52,53,10,14,11,8,7,9,4,5,0,0,0,0,11 臺南市,2 技職
112,1023,南臺科技大學,D 日,B 四技,10918,6353,4565,1453,1116,1486,1028,1512,1142,1558,1102,0,0,0,0,0,0,344,177,11 臺南市,2 技職
112,1023,南臺科技大學,N 修,B 四技,2211,1471,740,299,129,253,136,321,153,381,211,0,0,0,0,0,0,217,111,11 臺南市,2 技職
112,1023,南臺科技大學,D 日,C 二技,15,5,10,0,0,0,0,1,2,3,7,0,0,0,0,0,0,1,1,11 臺南市,2 技職
112,1023,南臺科技大學,N 修,C 二技,203,42,161,0,0,0,0,20,92,18,68,0,0,0,0,0,0,4,1,11 臺南市,2 技職
112,1023,南臺科技大學,D 日,5 五專,475,403,72,106,25,87,23,66,9,71,11,59,4,0,0,0,0,14,0,11 臺南市,2 技職
112,1024,崑山科技大學,D 日,D 博士,29,23,6,8,1,2,0,3,1,3,0,4,3,2,1,1,0,0,0,11 臺南市,2 技職
112,1024,崑山科技大學,D 日,M 碩士,280,185,95,82,38,74,42,22,9,7,6,0,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1024,崑山科技大學,N 職,M 碩士,201,130,71,61,34,48,25,8,9,13,3,0,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1024,崑山科技大學,D 日,B 四技,5760,3427,2333,757,594,820,641,848,481,754,490,0,0,0,0,0,0,248,127,11 臺南市,2 技職
112,1024,崑山科技大學,N 修,B 四技,1789,1256,533,292,99,269,101,280,128,295,160,0,0,0,0,0,0,120,45,11 臺南市,2 技職
112,1024,崑山科技大學,D 日,C 二技,24,16,8,0,0,0,0,9,6,5,2,2,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1024,崑山科技大學,N 修,C 二技,318,187,131,0,0,0,0,100,57,85,71,0,0,0,0,0,0,2,3,11 臺南市,2 技職
112,1024,崑山科技大學,D 日,2 二專,12,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1025,嘉南藥理大學,D 日,M 碩士,139,63,76,30,35,23,30,7,11,3,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1025,嘉南藥理大學,N 職,M 碩士,146,73,73,32,24,29,34,4,8,3,6,3,1,2,0,0,0,0,0,11 臺南市,2 技職
112,1025,嘉南藥理大學,D 日,B 四技,7249,3066,4183,630,841,613,960,809,1055,778,1068,126,150,0,0,0,0,110,109,11 臺南市,2 技職
112,1025,嘉南藥理大學,N 修,B 四技,946,514,432,128,84,96,79,115,110,122,114,0,0,0,0,0,0,53,45,11 臺南市,2 技職
112,1025,嘉南藥理大學,D 日,C 二技,54,3,51,0,0,0,0,2,20,1,30,0,0,0,0,0,0,0,1,11 臺南市,2 技職
112,1025,嘉南藥理大學,N 修,C 二技,581,107,474,0,0,0,0,67,254,34,201,0,0,0,0,0,0,6,19,11 臺南市,2 技職
112,1025,嘉南藥理大學,D 日,5 五專,281,123,158,71,95,52,63,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
112,1026,樹德科技大學,D 日,D 博士,21,9,12,1,1,3,4,2,1,1,2,2,4,0,0,0,0,0,0,12 高雄市,2 技職
112,1026,樹德科技大學,D 日,M 碩士,241,101,140,46,46,39,47,13,28,3,19,0,0,0,0,0,0,0,0,12 高雄市,2 技職
112,1026,樹德科技大學,N 職,M 碩士,289,124,165,47,69,32,32,15,22,30,42,0,0,0,0,0,0,0,0,12 高雄市,2 技職
112,1026,樹德科技大學,D 日,B 四技,6036,2691,3345,649,829,599,781,640,795,587,802,0,0,0,0,0,0,216,138,12 高雄市,2 技職
